"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R12","R0603_-SMT","79.25mm","4.5mm","79.2mm","4.5mm","80mm","4.5mm","T","180.00","1K"
"R13","R0805_SMT","12.4mm","14.15mm","12.4mm","14.2mm","13.35mm","14.15mm","T","180.00","0R"
"R14","R0603_-SMT","79.25mm","6.2mm","79.2mm","6.2mm","80mm","6.2mm","T","180.00","1K"
"R15","R0603_-SMT","12.85mm","10.4mm","12.9mm","10.4mm","12.1mm","10.4mm","T","360.00","22R"
"R16","R0603_-SMT","12.85mm","8.8mm","12.9mm","8.8mm","12.1mm","8.8mm","T","360.00","22R"
"R17","R0603_-SMT","11.5mm","5.15mm","11.5mm","5.2mm","11.5mm","4.4mm","T","90.00","1.5K"
"R18","R0603_-SMT","56mm","7.35mm","56mm","7.4mm","56mm","6.6mm","T","90.00","10K"
"R19","R0603_-SMT","43.25mm","18.4mm","43.2mm","18.4mm","44mm","18.4mm","T","180.00","10K"
"R20","R0603_-SMT","56.2mm","36.15mm","56.2mm","36.2mm","56.2mm","35.4mm","T","90.00","1K"
"R21","R0603_-SMT","57.8mm","36.15mm","57.8mm","36.2mm","57.8mm","35.4mm","T","90.00","47K"
"R22","R0603_-SMT","58.55mm","28.8mm","58.6mm","28.8mm","57.8mm","28.8mm","T","360.00","1K"
"R23","R0603_-SMT","61mm","28.15mm","61mm","28.2mm","61mm","27.4mm","T","90.00","4K7"
"R24","R0603_-SMT","58.55mm","33.6mm","58.6mm","33.6mm","57.8mm","33.6mm","T","360.00","1K"
"R25","R0603_-SMT","58.55mm","32mm","58.6mm","32mm","57.8mm","32mm","T","360.00","1K"
"R26","R0603_-SMT","61mm","31.35mm","61mm","31.4mm","61mm","30.6mm","T","90.00","4K7"
"R27","R0805_SMT","83.1mm","9.45mm","83.1mm","9.4mm","82.15mm","9.45mm","T","360.00","1K"
"R28","R0603_-SMT","69.4mm","16.35mm","69.4mm","16.4mm","69.4mm","15.6mm","T","90.00","51R"
"R29","R0603_-SMT","71mm","16.35mm","71mm","16.4mm","71mm","15.6mm","T","90.00","51R"
"R30","R0603_-SMT","72.5mm","16.35mm","72.5mm","16.4mm","72.5mm","15.6mm","T","90.00","51R"
"R31","R0603_-SMT","65.65mm","40.2mm","65.6mm","40.2mm","66.4mm","40.2mm","T","180.00","1K"
"R32","R0603_-SMT","65.65mm","41.8mm","65.6mm","41.8mm","66.4mm","41.8mm","T","180.00","47K"
"R33","R0603_-SMT","59.85mm","38.6mm","59.8mm","38.6mm","60.6mm","38.6mm","T","180.00","1K"
"R34","R0603_-SMT","38.65mm","16.4mm","38.6mm","16.4mm","39.4mm","16.4mm","T","180.00","10K"
"R35","R0603_-SMT","35.55mm","16.4mm","35.6mm","16.4mm","34.8mm","16.4mm","T","360.00","10K"
"R36","R0603_-SMT","58.2mm","11.45mm","58.2mm","11.5mm","58.2mm","10.7mm","T","90.00","10K"
"R37","R0603_-SMT","58.2mm","7.45mm","58.2mm","7.4mm","58.2mm","8.2mm","T","270.00","10K"
"R38","R0603_-SMT","72.55mm","9.4mm","72.5mm","9.4mm","73.3mm","9.4mm","T","180.00","10K"
"R39","R0603_-SMT","72.55mm","6.9mm","72.5mm","6.9mm","73.3mm","6.9mm","T","180.00","10K"
"R40","R0603_-SMT","15.45mm","32.6mm","15.4mm","32.6mm","16.2mm","32.6mm","T","180.00","10K"
"R41","R0603_-SMT","8.55mm","32.8mm","8.6mm","32.8mm","7.8mm","32.8mm","T","0.00","1K"
"R42","R0603_-SMT","8mm","23.05mm","8mm","23mm","8mm","23.8mm","T","270.00","1K 1%"
"R43","R0603_-SMT","9.6mm","23.05mm","9.6mm","23mm","9.6mm","23.8mm","T","270.00","10K 1%"
"R46","R0603_-SMT","9.8mm","17.55mm","9.8mm","17.6mm","9.8mm","16.8mm","T","90.00","1K 1%"
"R47","R0603_-SMT","11.4mm","17.55mm","11.4mm","17.6mm","11.4mm","16.8mm","T","90.00","10K 1%"
